backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
1344,the beloved and painful chief obrien at work webcomic is now a big book perfect for fans of space travel deadend jobs and ennui,Webcomics,the United States,Jon Adams,15000,"San Francisco, CA",Chief O'Brien at Work Graphic Novel,55570.0,chief obrien at work graphic novel,True,True,successful,https://www.kickstarter.com/projects/1439753165/chief-obrien-at-work-graphic-novel?ref=discovery_category_newest,55570.0,48,30,30
358,authentic design inspired by a sacred pho leaf versatile fixed blade knife crafted by hand using sk5 steel our 7th campaign on ks,Product Design,the United States,SIAM Machete,5000,"Bangkok, Thailand",SIAM BAI PHO - Hand Forged Compact Fixed Blade Knife,24608.0,siam bai pho knife,True,False,successful,https://www.kickstarter.com/projects/siammachete/siam-bai-pho-knife?ref=discovery_category_newest,24608.0,11,37,37
12,i am starting this campaign because i love guitars inside and out and i have a passion for making unique guitars for everyone,Woodworking,the United States,Ian,2000,"Cincinnati, OH",Sunstar Guitars,2311.0,sunstar guitars,True,False,successful,https://www.kickstarter.com/projects/sunstarguitars/sunstar-guitars?ref=discovery_category_newest,2311.0,14,37,37
17,online graphic novel with scifi steampunk and cyberpunk themes,Webcomics,the United States,"Gun, Blade, and Shade",3000,"Pensacola, FL","Gun, Blade, and Shade",770.0,gun blade and shade,False,False,failed,https://www.kickstarter.com/projects/868506136/gun-blade-and-shade?ref=discovery_category_newest,770.0,31,30,30
5,i am trying to raise money to make zap apple hard cider soap to sell at my little pony conventions this year and online,Crafts,the United States,Patricia Muszynski,500,"Ypsilanti, MI",My Little Pony Zap Apple Hard Cider Soap,669.0,my little pony zap apple hard cider soap,True,False,successful,https://www.kickstarter.com/projects/1059914833/my-little-pony-zap-apple-hard-cider-soap?ref=discovery_category_newest,669.0,0,30,30
262,a 44page comic book anthology about our countrys battle against racism join the fight with this satirical graphic novel,Graphic Novels,the United States,Ben Ferrari,100,"Clayton, CA",Always Punch Nazis,5646.0,always punch nazis,True,False,successful,https://www.kickstarter.com/projects/pilotstudios/always-punch-nazis?ref=discovery_category_newest,5646.0,34,16,16
88,10 audience 5 performers the body as art and the body as social being lighting and video art immerse yourself into the experience,Dance,the United States,zornitsa stoyanova / Here[begin] Dance,4000,"Philadelphia, PA",shatter ::: dawn - dance installation event,4045.77,shatter dawn dance installation event,True,False,successful,https://www.kickstarter.com/projects/zornitsa/shatter-dawn-dance-installation-event?ref=discovery_category_newest,4045.77,47,20,20
20,help us make our april show a success by sharing this project  free tables for the creators and free admission to the public,Events,the United States,FIGID Press,250,"West Indianapolis, IN",Encourage a new level of creativity and education today!,296.0,encourage a new level of creativity and education,True,False,successful,https://www.kickstarter.com/projects/figidpress/encourage-a-new-level-of-creativity-and-education?ref=discovery_category_newest,296.0,4,24,24
63,showcase your diy handiwork for each holiday celebration by creating delightful crossstitch garlands,DIY,the United States,Lizzy Dabczynski-Bean,9500,"Orem, UT",Celebration Garlands by Stitch People (A New DIY Book!!),2858.0,celebration garlands by stitch people a new diy bo,False,False,failed,https://www.kickstarter.com/projects/stitchpeople/celebration-garlands-by-stitch-people-a-new-diy-bo?ref=discovery_category_newest,2858.0,40,20,20
140,i am an independent glass artist ready to take my art to the next level by building a custom designed glassblowing studio,Glass,the United States,Kyle Kraiter,12730,"Tigard, OR",Liquid Designs: Kyle Kraiter's Art Glass Studio,17037.0,liquid designs kyle kraiters art glass studio,True,True,successful,https://www.kickstarter.com/projects/961831847/liquid-designs-kyle-kraiters-art-glass-studio?ref=discovery_category_newest,17037.0,77,27,27
830,the exciting 2nd issue of the sugar pop origins mini series,Comic Books,the United States,Dan Mendoza,8000,"Las Vegas, NV",SUGAR POP 2,113230.0,sugar pop 2,True,False,successful,https://www.kickstarter.com/projects/danmendoza/sugar-pop-2?ref=discovery_category_newest,113230.0,15,30,30
45,a 7 day festival consisting of master class instruction lectures collaborative demonstrations and performances,Dance,the United States,Sara Bennett,3943,"Charleston, SC",Inaugural Charleston Dance Festival 2012,4070.0,inaugural charleston dance festival 2012,True,False,successful,https://www.kickstarter.com/projects/810765572/inaugural-charleston-dance-festival-2012?ref=discovery_category_newest,4070.0,162,30,30
6,a heros path in greatness k2,Comic Books,the United States,David Green,140,"Miami, FL",The Captivating Light,152.0,the captivating light 0,True,False,successful,https://www.kickstarter.com/projects/greenuniverse/the-captivating-light-0?ref=discovery_category_newest,152.0,0,30,30
64,in 1977 i came to the us from korea with 240 and the dream to dance  34 years later my company is making a homecoming tour to asia,Dance,the United States,Young Soon Kim / WHITE WAVE,10000,"Seoul, South Korea",WHITE WAVE Young Soon Kim Dance Company Far East Tour,10110.0,white wave young soon kim dance company far east t,True,False,successful,https://www.kickstarter.com/projects/45098288/white-wave-young-soon-kim-dance-company-far-east-t?ref=discovery_category_newest,10110.0,27,30,30
0,a website that brings all crafters together to share ideas tips trade or buy patterns/supplies sell crafted items and give lessons,DIY,the United States,Amber Henderson,5000,"Escondido, CA",The Ultimate DIY Crafting Website!,0.0,the ultimate diy crafting website,False,False,failed,https://www.kickstarter.com/projects/924323600/the-ultimate-diy-crafting-website?ref=discovery_category_newest,0.0,0,15,15
65,where concert dance  musical theater meets the black gospel experience,Performances,the United States,Tula B. Strong,2100,"Los Angeles, CA",TESTIMONY | A Dance Musical by Tula B. Strong,2640.0,testimony a dance musical by tula b strong,True,True,successful,https://www.kickstarter.com/projects/bstrong/testimony-a-dance-musical-by-tula-b-strong?ref=discovery_category_newest,2640.0,28,26,26
16,i want to create custom resin keychains/jewelry handsewn items silicone resin molds handdrawn stickers and custom enamel pins,DIY,the United States,Marina Huggins,600,"Moreno Valley, CA",Wicked Creations by Marina,665.0,wicked creations by marina,True,False,successful,https://www.kickstarter.com/projects/wickedcreations/wicked-creations-by-marina?ref=discovery_category_newest,665.0,0,29,29
0,hand made ceramics with unique and artistic flare,Pottery,the United States,Ivan Giovanni Trowbridge,25000,"Laredo, TX","Ceramic art, sculpture, mugs, and bowls",0.0,ceramic art sculpture mugs and bowls,False,False,failed,https://www.kickstarter.com/projects/570028931/ceramic-art-sculpture-mugs-and-bowls?ref=discovery_category_newest,0.0,0,10,10
3,awesome and creative ravebras that everyone will be amazed by,Embroidery,the United States,krystal cortez,2500,"Visalia, CA",RAVEBRAS,75.0,ravebras,False,False,failed,https://www.kickstarter.com/projects/2089207408/ravebras?ref=discovery_category_newest,75.0,0,60,60
1,cosplayer night club events with dj and live entertainment special cosplay guests freeplay video games contests and raffled prizes,Events,the United States,The Flying Bassist,5000,"Los Angeles, CA",Cosplay Night Con,1.0,cosplay night con,False,False,failed,https://www.kickstarter.com/projects/acred/cosplay-night-con?ref=discovery_category_newest,1.0,62,30,30
25,it is a natural tool for cleansing the head improving concentration and increasing mental alertness,Product Design,the United States,Relax,300,"Berkeley, CA",Make/100. Pendulum/ Stress Reduction and Relievers Device.,1215.0,make 100 pendulum stress reduction and relaxation device,True,False,successful,https://www.kickstarter.com/projects/relax-001/make-100-pendulum-stress-reduction-and-relaxation-device?ref=discovery_category_newest,1215.0,0,15,15
447,warka water captures potable water from the air by collecting rain harvesting fog and dew for rural communities in ethiopia,Architecture,the United States,Warka Water Inc. (deleted),40000,"Scottsdale, AZ",Warka Water 3.2,41257.0,warka water 32,True,False,successful,https://www.kickstarter.com/projects/366225655/warka-water-32?ref=discovery_category_newest,41257.0,234,44,44
39,we are raising money to fund our senior concert v e r s u s with your help we will produce two dance concerts,Performances,the United States,Noelani Corey,3000,"Richmond, VA",V E R S U S : VCU Dance Fall Senior Projects 2017,3020.0,v e r s u s vcu dance fall senior projects 2017,True,False,successful,https://www.kickstarter.com/projects/237154157/v-e-r-s-u-s-vcu-dance-fall-senior-projects-2017?ref=discovery_category_newest,3020.0,0,29,29
51,action adventure spy comedy about a boy  his pet cheetah getting in  out of trouble around the world at http//wwwodysseycomiccom,Webcomics,the United States,Josh Greathouse,16000,"Atlanta, GA",Scotty Odyssey: Volume 1,4067.0,scotty odyssey volume 1,False,True,failed,https://www.kickstarter.com/projects/448219729/scotty-odyssey-volume-1?ref=discovery_category_newest,4067.0,70,30,30
25,for kickstarters make 100 campaign i designed a new limited edition cheeseboard with flowing curves and gorgeous quartersawn oak,Woodworking,the United States,Andrew Tau,40,"Las Vegas, NV","100 Waves, Limited Edition Wood Cheeseboard",1658.0,100 waves limited edition wood cheeseboard,True,True,successful,https://www.kickstarter.com/projects/1668639938/100-waves-limited-edition-wood-cheeseboard?ref=discovery_category_newest,1658.0,0,14,14
0,acid stain flooring is in high demand  i can deliver inkjet printed acid stain porcelain tile,Architecture,the United States,ronald goad (deleted),10000,"Muskogee, OK",ACID STAIN PORCELAIN TILE (Canceled),0.0,acid stain porcelain tile,False,False,canceled,https://www.kickstarter.com/projects/inkjetacidstain/acid-stain-porcelain-tile?ref=discovery_category_newest,0.0,2,45,9
140,a comic book featuring a superhero team just like any other popular superhero team from marvel or dc with one exceptionthey suck,Comic Books,the United States,"Short Fuse Media Group, LLC.",2600,"Columbus, OH",Heroes International - Ongoing Comic Book Series,3705.0,heroes international ongoing comic book series,True,False,successful,https://www.kickstarter.com/projects/shortfusemedia/heroes-international-ongoing-comic-book-series?ref=discovery_category_newest,3705.0,4,31,31
16,im building an educational nature trail to detail the edible medicinal and useful properties of local plants,Civic Design,the United States,Jonathan Roomberg,1000,"San Antonio, TX",Educational Nature Trail,1076.0,educational nature trail,True,False,successful,https://www.kickstarter.com/projects/1528679705/educational-nature-trail?ref=discovery_category_newest,1076.0,114,15,15
0,we are make art from junk with this project we will create our new  cozyhome from a used shuttle bus and take to the open road,DIY,the United States,Katie & Calvyn,20000,"Mechanicsburg, PA",SalvEdged Nomadic Home Bus Conversion,0.0,salvedged nomadic home bus conversion,False,False,failed,https://www.kickstarter.com/projects/salvedged/salvedged-nomadic-home-bus-conversion?ref=discovery_category_newest,0.0,0,30,30
2,through creative dance movement and spoken word i give young girls the opportunity to express themselves in a healthy and positive way,Spaces,the United States,Tina L Scott,10000,"East Orange, NJ",Our own studio home!!,20.0,our own studio home,False,False,failed,https://www.kickstarter.com/projects/765873820/our-own-studio-home?ref=discovery_category_newest,20.0,19,29,29
36,enamel pin of adorable smiling pitbull wearing crown of flowers,Crafts,the United States,Painted Dame Studio - Pam Craven,300,"Lowell, MA",Flower Crown Pittie Pin,601.0,flower crown pittie pin,True,False,successful,https://www.kickstarter.com/projects/smilingpittiesocks/flower-crown-pittie-pin?ref=discovery_category_newest,601.0,0,30,30
41,"2020 24 hour comic day production
red so a paranormal investigator a gun totin nun and a cat walk into a bar full of vampires",Comic Books,the United States,Sam Blanchard,600,"Princeton, NJ",Shlepzig's 24 Hour Comic Book (2020),1298.0,shelepzigs 24 hour comic book 2020,True,False,successful,https://www.kickstarter.com/projects/shlepzig/shelepzigs-24-hour-comic-book-2020?ref=discovery_category_newest,1298.0,0,42,42
228,a vengeful knight continues his quest against those who would bring about the worlds doom a 94 page full color graphic novel,Graphic Novels,the United States,Lee Milewski,3800,"Naples, FL",Hunter's Lore: The Heralds Ruin,8543.0,hunters lore the heralds ruin,True,True,successful,https://www.kickstarter.com/projects/1939188463/hunters-lore-the-heralds-ruin?ref=discovery_category_newest,8543.0,26,32,32
